Clause,Label 1,Label 1-Answer,Label 2,Label 2-Answer
ENDORSEMENT AGREEMENT,Document Name,ENDORSEMENT AGREEMENT
"Eco Science Solutions, Inc., ""ESSI"", Stephen Marley, ""Talent"", Stephen Marley, ""ESSI"", Eco Science Solutions, Inc.",Parties,"Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")"
14th day of November 2017,Agreement Date,11/14/2017,Effective Date,11/14/2017
"The term of this Agreement shall be for one (1) year commencing on the Effective Date and automatically renewing annually thereafter, unless either party provides a thirty-day notice of written termination one to the other (""Term"").",Expiration Date,11/14/2018,Renewal Term,successive 1 year,Notice Period To Terminate Renewal,30 days
"Regardless of the place of execution hereof, this Agreement, all amendments hereto, and any and all issues or controversies arising here from or related hereto, shall be governed by and construed exclusively in accordance with the laws and decisions of the State of Michigan.",Governing Law,Michigan
"Talent represents and warrants that during the Term and in the Territories, Talent will not endorse or make any appearances or advertisements on behalf of any other product which is directly competitive to ESSI's products.",Non-Compete,Yes
Neither this Agreement nor any of the rights or obligations contained herein may be assigned or transferred by either party without the prior written consent of the other party.,Anti-assignment,Yes
"ESSI will provide Talent with one-million (1,000,000) shares of restricted common stock issued within ten business days of execution of this Agreement.",Revenue/Profit Sharing,Yes
In the event any Production Session exceeds eight (8) hours in duration ESSI and Talent will negotiate in good faith additional compensation to Talent for time in excess of eight (8) hours.,Volume Restriction,Yes
"During the Term and subject to the limitations set forth in Paragraphs 9 and 10, ESSI shall have the right to use the name, image, likeness, characterization, visual and audio representation of Talent (""Talent Attributes"") in connection with the ESSI product suite, in the venue(s) as follows: A. Promotional Territories (""Territories"") shall include various online, outdoor, radio and television promotional spots (specific promotional spots and content specifics to be mutually agreed upon) promoting the ESSI product suite (""Commercial Placements"") aired in various venues as determined to best suit the needed promotion of ESSI products_ B. On ESSI's downloaded apps (UseHerbo, Herbo Wallet, FitRx) and websites (www.useherbo.com_ www.eccossi.com) (""Websites""), of which new ESSI owns and operates downloadable apps and websites may be added to this list at the will of ESSI_ and C. ESSI Natural Supplementation Products. D. In ESSI product-related press releases (of which only ESSI may produce and publish).",License Grant,Yes
Such usage may not be sold or transferred.,Non-Transferable License,Yes
